GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC03_EST_VC29,HC03_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC03_EST_VC30,HC03_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC03_EST_VC31,HC03_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC03_EST_VC32,HC03_MOE_VC32,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC03_EST_VC35,HC03_MOE_VC35
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Households receiving food stamps; Estimate; Households,Households receiving food stamps; Margin of Error; Households,Households not receiving food stamps; Estimate; Households,Households not receiving food stamps; Margin of Error; Households,Total; Estimate; With one or more people 60 years and over,Total; Margin of Error; With one or more people 60 years and over,Households receiving food stamps; Estimate; With one or more people 60 years and over,Households receiving food stamps; Margin of Error; With one or more people 60 years and over,Households not receiving food stamps; Estimate; With one or more people 60 years and over,Households not receiving food stamps; Margin of Error; With one or more people 60 years and over,Total; Estimate; With children under 18 years,Total; Margin of Error; With children under 18 years,Households receiving food stamps; Estimate; With children under 18 years,Households receiving food stamps; Margin of Error; With children under 18 years,Households not receiving food stamps; Estimate; With children under 18 years,Households not receiving food stamps; Margin of Error; With children under 18 years,Total; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Total; Margin of Error; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Households receiving food stamps; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Households receiving food stamps; Margin of Error; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Households not receiving food stamps; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Households not receiving food stamps; Margin of Error; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Total; Estimate; DISABILITY STATUS - With one or more people with a disability,Total; Margin of Error; DISABILITY STATUS - With one or more people with a disability,Households receiving food stamps; Estimate; DISABILITY STATUS - With one or more people with a disability,Households receiving food stamps; Margin of Error; DISABILITY STATUS - With one or more people with a disability,Households not receiving food stamps; Estimate; DISABILITY STATUS - With one or more people with a disability,Households not receiving food stamps; Margin of Error; DISABILITY STATUS - With one or more people with a disability,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Households receiving food stamps; Estimate; Hispanic or Latino origin (of any race),Households receiving food stamps; Margin of Error; Hispanic or Latino origin (of any race),Households not receiving food stamps; Estimate; Hispanic or Latino origin (of any race),Households not receiving food stamps; Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Households receiving food stamps; Estimate; White alone, not Hispanic or Latino","Households receiving food stamps; Margin of Error; White alone, not Hispanic or Latino","Households not receiving food stamps; Estimate; White alone, not Hispanic or Latino","Households not receiving food stamps; Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Households receiving food stamps; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Households receiving food stamps; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Households not receiving food stamps; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Households not receiving food stamps; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Total; Estimate; WORK STATUS - Families,Total; Margin of Error; WORK STATUS - Families,Households receiving food stamps; Estimate; WORK STATUS - Families,Households receiving food stamps; Margin of Error; WORK STATUS - Families,Households not receiving food stamps; Estimate; WORK STATUS - Families,Households not receiving food stamps; Margin of Error; WORK STATUS - Families,Total; Estimate; WORK STATUS - No workers in past 12 months,Total; Margin of Error; WORK STATUS - No workers in past 12 months,Households receiving food stamps; Estimate; WORK STATUS - No workers in past 12 months,Households receiving food stamps; Margin of Error; WORK STATUS - No workers in past 12 months,Households not receiving food stamps; Estimate; WORK STATUS - No workers in past 12 months,Households not receiving food stamps; Margin of Error; WORK STATUS - No workers in past 12 months,Total; Estimate; WORK STATUS - 1 worker in past 12 months,Total; Margin of Error; WORK STATUS - 1 worker in past 12 months,Households receiving food stamps; Estimate; WORK STATUS - 1 worker in past 12 months,Households receiving food stamps; Margin of Error; WORK STATUS - 1 worker in past 12 months,Households not receiving food stamps; Estimate; WORK STATUS - 1 worker in past 12 months,Households not receiving food stamps; Margin of Error; WORK STATUS - 1 worker in past 12 months,Total; Estimate; WORK STATUS - 2 or more workers in past 12 months,Total; Margin of Error; WORK STATUS - 2 or more workers in past 12 months,Households receiving food stamps; Estimate; WORK STATUS - 2 or more workers in past 12 months,Households receiving food stamps; Margin of Error; WORK STATUS - 2 or more workers in past 12 months,Households not receiving food stamps; Estimate; WORK STATUS - 2 or more workers in past 12 months,Households not receiving food stamps; Margin of Error; WORK STATUS - 2 or more workers in past 12 months,Total; Estimate; PERCENT IMPUTED - Food stamp/SNAP recipiency,Total; Margin of Error; PERCENT IMPUTED - Food stamp/SNAP recipiency,Households receiving food stamps; Estimate; PERCENT IMPUTED - Food stamp/SNAP recipiency,Households receiving food stamps; Margin of Error; PERCENT IMPUTED - Food stamp/SNAP recipiency,Households not receiving food stamps; Estimate; PERCENT IMPUTED - Food stamp/SNAP recipiency,Households not receiving food stamps; Margin of Error; PERCENT IMPUTED - Food stamp/SNAP recipiency
0500000US01001,01001,"Autauga County, Alabama",19934,376,2145,326,17789,379,32.2,1.2,16.8,5.3,34.0,1.3,37.0,1.9,52.9,7.4,35.1,2.1,11.6,1.3,48.3,7.7,7.1,1.3,29.5,2.1,48.5,8.9,27.2,2.1,99.0,0.4,97.8,2.4,99.1,0.4,80.6,1.1,61.1,7.3,82.9,1.1,17.1,1.0,36.6,6.6,14.7,1.0,0.4,0.3,0.0,1.5,0.4,0.4,0.3,0.2,0.0,1.5,0.3,0.2,0.0,0.2,0.0,1.5,0.0,0.2,0.7,0.5,0.0,1.5,0.8,0.6,1.0,0.4,2.2,2.4,0.9,0.4,1.9,0.5,1.0,1.1,2.0,0.5,79.3,1.1,60.1,7.4,81.6,1.1,53773,1888,21607,4483,58211,2612,14258,427,1553,284,12705,418,14.3,1.7,24.1,8.6,13.1,1.6,31.6,2.4,40.8,9.8,30.5,2.5,54.1,2.5,35.1,9.2,56.5,2.7,0.9,(X),(X),(X),(X),(X)
0500000US01003,01003,"Baldwin County, Alabama",72751,994,5920,596,66831,1011,39.9,0.8,19.3,3.9,41.7,0.9,31.2,1.1,59.8,4.8,28.7,1.2,12.1,1.0,50.3,5.3,8.7,1.0,27.7,1.3,52.2,5.4,25.5,1.3,98.8,0.3,96.3,2.0,99.0,0.3,88.9,0.6,68.3,4.9,90.7,0.7,7.9,0.5,24.3,4.7,6.5,0.5,0.6,0.2,1.6,1.3,0.5,0.2,0.5,0.1,0.7,0.9,0.4,0.1,0.0,0.1,0.0,0.5,0.0,0.1,0.9,0.3,1.4,1.4,0.8,0.3,1.2,0.3,3.7,2.0,1.0,0.3,2.5,0.3,4.8,2.8,2.3,0.3,87.3,0.7,65.1,5.2,89.3,0.7,50706,1371,19826,1593,54300,1512,52117,1096,4785,560,47332,1132,19.5,1.0,19.4,4.7,19.5,1.1,31.2,1.7,39.0,6.7,30.4,1.8,49.3,1.6,41.7,7.0,50.1,1.8,0.9,(X),(X),(X),(X),(X)
0500000US01005,01005,"Barbour County, Alabama",9423,307,2157,221,7266,276,40.8,1.8,24.6,5.0,45.6,2.4,33.2,2.3,55.4,5.2,26.5,2.5,25.6,2.5,67.5,6.8,13.1,2.6,38.3,2.5,47.7,6.4,35.5,2.6,98.6,0.8,96.4,2.6,99.2,0.6,53.7,1.8,21.8,4.4,63.1,2.1,43.1,1.9,74.6,4.8,33.8,2.2,0.0,0.3,0.0,1.5,0.0,0.4,0.5,0.5,0.0,1.5,0.7,0.6,0.0,0.3,0.0,1.5,0.0,0.4,1.3,0.8,0.0,1.5,1.7,1.1,1.4,0.8,3.6,2.6,0.8,0.6,3.8,0.9,2.4,3.0,4.2,1.1,51.5,1.6,19.4,3.4,61.0,2.0,31889,2212,11487,1137,41178,2517,6394,315,1483,201,4911,280,21.4,2.6,23.5,7.7,20.8,2.6,36.3,3.2,58.1,8.8,29.7,3.4,42.2,3.0,18.3,6.4,49.5,3.3,2.7,(X),(X),(X),(X),(X)
0500000US01007,01007,"Bibb County, Alabama",7386,340,1007,191,6379,316,39.4,2.7,28.2,9.7,41.1,3.0,36.7,4.5,54.1,11.3,34.0,4.6,17.9,3.1,45.0,12.3,13.6,3.4,32.9,4.4,43.0,13.2,31.3,4.2,99.6,0.4,100.0,3.2,99.6,0.4,79.5,2.5,52.8,12.0,83.7,2.6,19.9,2.5,47.2,12.0,15.6,2.5,0.3,0.5,0.0,3.2,0.4,0.6,0.0,0.4,0.0,3.2,0.0,0.5,0.0,0.4,0.0,3.2,0.0,0.5,0.0,0.4,0.0,3.2,0.0,0.5,0.4,0.4,0.0,3.2,0.4,0.4,0.9,0.9,0.0,3.2,1.1,1.1,78.5,2.6,52.8,12.0,82.6,2.8,36824,4346,17946,2335,43173,3515,5488,395,780,169,4708,353,21.2,3.2,31.0,10.6,19.5,3.3,38.6,5.0,53.2,12.5,36.2,5.2,40.2,5.0,15.8,8.9,44.2,5.0,3.5,(X),(X),(X),(X),(X)
0500000US01009,01009,"Blount County, Alabama",21031,431,2479,349,18552,512,39.5,1.4,26.0,7.3,41.3,1.7,36.0,2.0,62.8,6.8,32.4,2.0,14.0,1.8,50.2,6.9,9.2,1.4,33.1,2.2,56.5,7.4,30.0,2.1,99.1,0.3,98.0,1.7,99.3,0.4,96.2,0.7,94.7,2.6,96.4,0.8,1.0,0.4,2.3,1.6,0.8,0.4,0.3,0.3,0.7,1.2,0.3,0.2,0.3,0.2,0.0,1.3,0.4,0.2,0.0,0.2,0.0,1.3,0.0,0.2,1.3,0.5,0.4,0.6,1.4,0.6,0.9,0.3,2.0,1.7,0.7,0.4,5.2,0.7,6.7,3.1,5.0,0.8,92.4,0.9,89.1,4.3,92.8,1.0,45192,1933,22329,3196,49614,2551,15590,540,2017,298,13573,543,17.5,1.8,27.8,7.1,15.9,1.7,34.4,3.0,41.1,9.4,33.4,2.9,48.2,2.9,31.1,8.8,50.7,2.9,1.9,(X),(X),(X),(X),(X)
0500000US01011,01011,"Bullock County, Alabama",3740,209,742,174,2998,216,42.5,4.6,28.3,9.7,46.1,5.6,31.9,5.6,53.4,12.7,26.6,6.1,20.9,4.3,64.8,11.6,10.0,3.5,34.2,5.1,49.2,14.4,30.5,5.3,100.0,0.9,100.0,4.3,100.0,1.1,33.6,5.5,11.5,8.1,39.1,6.7,66.2,5.6,88.5,8.1,60.7,6.8,0.2,0.3,0.0,4.3,0.2,0.4,0.0,0.9,0.0,4.3,0.0,1.1,0.0,0.9,0.0,4.3,0.0,1.1,0.0,0.9,0.0,4.3,0.0,1.1,0.0,0.9,0.0,4.3,0.0,1.1,3.3,3.1,3.1,4.6,3.3,3.8,30.3,4.1,8.4,7.3,35.8,5.0,34500,6593,9435,1524,42041,6465,2414,281,529,169,1885,228,26.0,6.3,56.5,14.0,17.5,5.6,25.2,5.9,18.0,11.5,27.3,6.4,48.8,7.0,25.5,13.7,55.3,7.5,1.1,(X),(X),(X),(X),(X)
0500000US01013,01013,"Butler County, Alabama",8149,252,1876,197,6273,241,40.9,1.8,26.5,5.3,45.2,2.5,32.7,2.4,61.3,6.4,24.2,2.4,25.1,2.7,62.0,6.5,14.1,2.1,35.4,2.5,43.5,6.0,33.0,2.7,99.1,0.6,98.9,1.2,99.1,0.6,58.3,1.6,27.2,5.5,67.6,2.3,39.8,1.4,71.7,5.5,30.2,2.0,0.2,0.3,0.0,1.7,0.3,0.4,0.7,0.5,0.0,1.7,0.8,0.6,0.0,0.4,0.0,1.7,0.0,0.5,0.1,0.2,0.0,1.7,0.2,0.3,0.9,0.6,1.1,1.2,0.9,0.6,0.6,0.3,0.6,1.0,0.6,0.3,57.8,1.7,26.7,5.3,67.1,2.3,30752,2362,14080,1546,38932,3484,5380,254,1454,183,3926,242,22.0,3.0,31.2,7.0,18.7,3.0,38.8,3.8,50.3,8.0,34.6,4.2,39.1,3.4,18.6,5.5,46.8,4.0,1.3,(X),(X),(X),(X),(X)
0500000US01015,01015,"Calhoun County, Alabama",45764,593,8210,568,37554,774,36.2,0.8,19.1,2.5,39.9,1.1,30.2,1.0,54.2,3.7,25.0,1.2,20.2,1.3,61.1,3.6,11.2,1.1,35.0,1.4,45.0,4.0,32.8,1.5,99.0,0.3,98.2,1.3,99.1,0.3,77.2,0.7,56.8,3.2,81.7,0.9,19.9,0.7,40.6,2.9,15.4,0.9,0.4,0.2,0.6,0.6,0.3,0.1,0.6,0.2,0.0,0.4,0.7,0.3,0.0,0.1,0.0,0.4,0.1,0.1,0.8,0.2,0.2,0.2,0.9,0.3,1.0,0.3,1.8,1.3,0.9,0.3,2.1,0.3,1.8,1.2,2.2,0.3,76.2,0.7,55.7,3.2,80.7,0.9,40093,1289,15892,1348,46901,1658,30453,788,5755,507,24698,848,18.6,1.2,21.5,3.3,17.9,1.4,37.7,1.9,53.0,4.4,34.1,2.0,43.7,1.9,25.5,4.3,48.0,2.0,2.8,(X),(X),(X),(X),(X)
0500000US01017,01017,"Chambers County, Alabama",13634,347,2249,249,11385,402,40.0,1.6,26.5,4.9,42.7,1.8,27.9,1.9,55.9,5.5,22.4,2.0,22.3,1.6,69.1,6.3,13.0,1.5,36.5,2.8,46.9,6.6,34.5,2.9,99.1,0.5,98.9,1.2,99.1,0.6,61.5,1.4,28.1,5.3,68.1,1.7,37.0,1.4,70.1,5.2,30.4,1.7,0.1,0.2,0.8,1.1,0.0,0.3,0.4,0.1,0.0,1.4,0.4,0.2,0.0,0.2,0.0,1.4,0.0,0.3,0.1,0.2,0.0,1.4,0.2,0.3,0.9,0.5,1.1,1.2,0.9,0.6,0.8,0.4,1.8,1.5,0.6,0.6,61.1,1.4,27.2,5.5,67.9,1.8,32181,1387,12827,1637,37736,2769,9002,378,1717,220,7285,362,20.6,2.6,26.5,6.7,19.2,2.5,40.8,3.7,53.2,8.0,37.9,3.8,38.6,3.5,20.3,6.3,42.9,3.8,1.6,(X),(X),(X),(X),(X)
