GEO.id,GEO.id2,GEO.display-label,HC01_VC02,HC02_VC02,HC01_VC03,HC02_VC03,HC01_VC04,HC02_VC04,HC01_VC05,HC02_VC05,HC01_VC06,HC02_VC06,HC01_VC07,HC02_VC07,HC01_VC08,HC02_VC08,HC01_VC09,HC02_VC09,HC01_VC10,HC02_VC10,HC01_VC11,HC02_VC11,HC01_VC12,HC02_VC12,HC01_VC13,HC02_VC13,HC01_VC14,HC02_VC14,HC01_VC15,HC02_VC15,HC01_VC16,HC02_VC16,HC01_VC17,HC02_VC17,HC01_VC18,HC02_VC18,HC01_VC19,HC02_VC19,HC01_VC20,HC02_VC20,HC01_VC21,HC02_VC21,HC01_VC22,HC02_VC22,HC01_VC23,HC02_VC23,HC01_VC24,HC02_VC24,HC01_VC25,HC02_VC25,HC01_VC26,HC02_VC26,HC01_VC27,HC02_VC27,HC01_VC28,HC02_VC28,HC01_VC29,HC02_VC29,HC01_VC30,HC02_VC30,HC01_VC31,HC02_VC31,HC01_VC33,HC02_VC33,HC01_VC34,HC02_VC34,HC01_VC35,HC02_VC35,HC01_VC36,HC02_VC36,HC01_VC37,HC02_VC37,HC01_VC38,HC02_VC38,HC01_VC39,HC02_VC39,HC01_VC41,HC02_VC41,HC01_VC42,HC02_VC42,HC01_VC43,HC02_VC43,HC01_VC44,HC02_VC44,HC01_VC45,HC02_VC45,HC01_VC46,HC02_VC46,HC01_VC47,HC02_VC47
Id,Id2,Geography,Number; RACE - Total population,Percent; RACE - Total population,Number; RACE - Total population - One race,Percent; RACE - Total population - One race,Number; RACE - Total population - One race - White,Percent; RACE - Total population - One race - White,Number; RACE - Total population - One race - Black or African American,Percent; RACE - Total population - One race - Black or African American,Number; RACE - Total population - One race - American Indian and Alaska Native,Percent; RACE - Total population - One race - American Indian and Alaska Native,Number; RACE - Total population - One race - American Indian and Alaska Native - American Indian,Percent; RACE - Total population - One race - American Indian and Alaska Native - American Indian,Number; RACE - Total population - One race - American Indian and Alaska Native - Alaska Native,Percent; RACE - Total population - One race - American Indian and Alaska Native - Alaska Native,Number; RACE - Total population - One race - American Indian and Alaska Native - Both American Indian and Alaska Native,Percent; RACE - Total population - One race - American Indian and Alaska Native - Both American Indian and Alaska Native,"Number; RACE - Total population - One race - American Indian and Alaska Native - American Indian or Alaska Native, not specified","Percent; RACE - Total population - One race - American Indian and Alaska Native - American Indian or Alaska Native, not specified",Number; RACE - Total population - One race - Asian,Percent; RACE - Total population - One race - Asian,Number; RACE - Total population - One race - Asian - Asian Indian,Percent; RACE - Total population - One race - Asian - Asian Indian,Number; RACE - Total population - One race - Asian - Chinese,Percent; RACE - Total population - One race - Asian - Chinese,Number; RACE - Total population - One race - Asian - Filipino,Percent; RACE - Total population - One race - Asian - Filipino,Number; RACE - Total population - One race - Asian - Japanese,Percent; RACE - Total population - One race - Asian - Japanese,Number; RACE - Total population - One race - Asian - Korean,Percent; RACE - Total population - One race - Asian - Korean,Number; RACE - Total population - One race - Asian - Vietnamese,Percent; RACE - Total population - One race - Asian - Vietnamese,Number; RACE - Total population - One race - Asian - Other Asian category,Percent; RACE - Total population - One race - Asian - Other Asian category,Number; RACE - Total population - One race - Asian - Two or more Asian categories,Percent; RACE - Total population - One race - Asian - Two or more Asian categories,Number; RACE - Total population - One race - Native Hawaiian and Other Pacific Islander,Percent; RACE - Total population - One race - Native Hawaiian and Other Pacific Islander,Number; RACE - Total population - One race - Native Hawaiian and Other Pacific Islander - Native Hawaiian,Percent; RACE - Total population - One race - Native Hawaiian and Other Pacific Islander - Native Hawaiian,Number; RACE - Total population - One race - Native Hawaiian and Other Pacific Islander - Samoan,Percent; RACE - Total population - One race - Native Hawaiian and Other Pacific Islander - Samoan,Number; RACE - Total population - One race - Native Hawaiian and Other Pacific Islander - Guamanian or Chamorro,Percent; RACE - Total population - One race - Native Hawaiian and Other Pacific Islander - Guamanian or Chamorro,Number; RACE - Total population - One race - Native Hawaiian and Other Pacific Islander - Other Pacific Islander category,Percent; RACE - Total population - One race - Native Hawaiian and Other Pacific Islander - Other Pacific Islander category,Number; RACE - Total population - One race - Native Hawaiian and Other Pacific Islander - Two or more Native Hawaiian or Other Pacific Islander categories,Percent; RACE - Total population - One race - Native Hawaiian and Other Pacific Islander - Two or more Native Hawaiian or Other Pacific Islander categories,Number; RACE - Total population - One race - Some other race,Percent; RACE - Total population - One race - Some other race,Number; RACE - Total population - Two or more races,Percent; RACE - Total population - Two or more races,Number; RACE - Total population - Two or more races - Two races including Some other race,Percent; RACE - Total population - Two or more races - Two races including Some other race,"Number; RACE - Total population - Two or more races - Two races excluding Some other race, and three or more races","Percent; RACE - Total population - Two or more races - Two races excluding Some other race, and three or more races","Number; RACE - Total population - Two or more races - Two races excluding Some other race, and three or more races - Two races excluding Some other race","Percent; RACE - Total population - Two or more races - Two races excluding Some other race, and three or more races - Two races excluding Some other race","Number; RACE - Total population - Two or more races - Two races excluding Some other race, and three or more races - Three or more races","Percent; RACE - Total population - Two or more races - Two races excluding Some other race, and three or more races - Three or more races",Number; HISPANIC OR LATINO - Total population,Percent; HISPANIC OR LATINO - Total population,Number; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race),Number; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Mexican,Percent; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Mexican,Number; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Puerto Rican,Percent; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Puerto Rican,Number; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Cuban,Percent; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Cuban,Number; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,Percent; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,Number; HISPANIC OR LATINO - Total population - Not Hispanic or Latino,Percent; HISPANIC OR LATINO - Total population - Not Hispanic or Latino,Number; RACE AND HISPANIC OR LATINO - Total population,Percent; RACE AND HISPANIC OR LATINO - Total population,Number; RACE AND HISPANIC OR LATINO - Total population - One race,Percent; RACE AND HISPANIC OR LATINO - Total population - One race,Number; RACE AND HISPANIC OR LATINO - Total population - One race - Hispanic or Latino,Percent; RACE AND HISPANIC OR LATINO - Total population - One race - Hispanic or Latino,Number; RACE AND HISPANIC OR LATINO - Total population - One race - Not Hispanic or Latino,Percent; RACE AND HISPANIC OR LATINO - Total population - One race - Not Hispanic or Latino,Number; RACE AND HISPANIC OR LATINO - Total population - Two or more races,Percent; RACE AND HISPANIC OR LATINO - Total population - Two or more races,Number; RACE AND HISPANIC OR LATINO - Total population - Two or more races - Hispanic or Latino,Percent; RACE AND HISPANIC OR LATINO - Total population - Two or more races - Hispanic or Latino,Number; RACE AND HISPANIC OR LATINO - Total population - Two or more races - Not Hispanic or Latino,Percent; RACE AND HISPANIC OR LATINO - Total population - Two or more races - Not Hispanic or Latino
0500000US01001,01001,"Autauga County, Alabama",43671,100.0,43266,99.1,35221,80.7,7473,17.1,194,0.4,149,0.3,0,0.0,0,0.0,45,0.1,200,0.5,19,0.0,24,0.1,28,0.1,39,0.1,36,0.1,22,0.1,27,0.1,5,0.0,13,0.0,2,0.0,2,0.0,5,0.0,4,0.0,0,0.0,165,0.4,405,0.9,54,0.1,351,0.8,334,0.8,17,0.0,43671,100.0,610,1.4,302,0.7,123,0.3,7,0.0,178,0.4,43061,98.6,43671,100.0,43266,99.1,579,1.3,42687,97.7,405,0.9,31,0.1,374,0.9
0500000US01003,01003,"Baldwin County, Alabama",140415,100.0,138949,99.0,122366,87.1,14444,10.3,809,0.6,664,0.5,1,0.0,0,0.0,144,0.1,537,0.4,102,0.1,108,0.1,101,0.1,35,0.0,57,0.0,78,0.1,40,0.0,16,0.0,38,0.0,12,0.0,3,0.0,13,0.0,10,0.0,0,0.0,755,0.5,1466,1.0,299,0.2,1167,0.8,1119,0.8,48,0.0,140415,100.0,2466,1.8,1446,1.0,158,0.1,113,0.1,749,0.5,137949,98.2,140415,100.0,138949,99.0,2299,1.6,136650,97.3,1466,1.0,167,0.1,1299,0.9
0500000US01005,01005,"Barbour County, Alabama",29038,100.0,28826,99.3,14887,51.3,13451,46.3,131,0.5,93,0.3,0,0.0,0,0.0,38,0.1,84,0.3,19,0.1,23,0.1,1,0.0,6,0.0,13,0.0,1,0.0,19,0.1,2,0.0,8,0.0,4,0.0,0,0.0,2,0.0,2,0.0,0,0.0,265,0.9,212,0.7,37,0.1,175,0.6,158,0.5,17,0.1,29038,100.0,478,1.6,334,1.2,24,0.1,6,0.0,114,0.4,28560,98.4,29038,100.0,28826,99.3,457,1.6,28369,97.7,212,0.7,21,0.1,191,0.7
0500000US01007,01007,"Bibb County, Alabama",20826,100.0,20719,99.5,15966,76.7,4624,22.2,49,0.2,32,0.2,0,0.0,0,0.0,17,0.1,17,0.1,8,0.0,1,0.0,5,0.0,0,0.0,1,0.0,1,0.0,1,0.0,0,0.0,2,0.0,1,0.0,0,0.0,1,0.0,0,0.0,0,0.0,61,0.3,107,0.5,15,0.1,92,0.4,90,0.4,2,0.0,20826,100.0,210,1.0,113,0.5,7,0.0,0,0.0,90,0.4,20616,99.0,20826,100.0,20719,99.5,200,1.0,20519,98.5,107,0.5,10,0.0,97,0.5
0500000US01009,01009,"Blount County, Alabama",51024,100.0,50505,99.0,48512,95.1,606,1.2,250,0.5,198,0.4,0,0.0,0,0.0,52,0.1,71,0.1,15,0.0,6,0.0,23,0.0,2,0.0,16,0.0,0,0.0,8,0.0,1,0.0,12,0.0,0,0.0,6,0.0,5,0.0,1,0.0,0,0.0,1054,2.1,519,1.0,134,0.3,385,0.8,367,0.7,18,0.0,51024,100.0,2718,5.3,2356,4.6,47,0.1,5,0.0,310,0.6,48306,94.7,51024,100.0,50505,99.0,2606,5.1,47899,93.9,519,1.0,112,0.2,407,0.8
0500000US01011,01011,"Bullock County, Alabama",11714,100.0,11632,99.3,2958,25.3,8564,73.1,44,0.4,35,0.3,0,0.0,0,0.0,9,0.1,21,0.2,7,0.1,0,0.0,8,0.1,3,0.0,1,0.0,0,0.0,2,0.0,0,0.0,2,0.0,1,0.0,0,0.0,1,0.0,0,0.0,0,0.0,43,0.4,82,0.7,13,0.1,69,0.6,61,0.5,8,0.1,11714,100.0,322,2.7,245,2.1,5,0.0,1,0.0,71,0.6,11392,97.3,11714,100.0,11632,99.3,317,2.7,11315,96.6,82,0.7,5,0.0,77,0.7
0500000US01013,01013,"Butler County, Alabama",21399,100.0,21315,99.6,12492,58.4,8732,40.8,45,0.2,36,0.2,0,0.0,0,0.0,9,0.0,35,0.2,20,0.1,4,0.0,5,0.0,4,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,0.1,84,0.4,13,0.1,71,0.3,63,0.3,8,0.0,21399,100.0,143,0.7,42,0.2,10,0.0,8,0.0,83,0.4,21256,99.3,21399,100.0,21315,99.6,133,0.6,21182,99.0,84,0.4,10,0.0,74,0.3
0500000US01015,01015,"Calhoun County, Alabama",112249,100.0,111168,99.0,88537,78.9,20810,18.5,445,0.4,332,0.3,3,0.0,0,0.0,110,0.1,633,0.6,98,0.1,59,0.1,77,0.1,59,0.1,214,0.2,43,0.0,78,0.1,5,0.0,76,0.1,12,0.0,31,0.0,24,0.0,9,0.0,0,0.0,667,0.6,1081,1.0,180,0.2,901,0.8,836,0.7,65,0.1,112249,100.0,1753,1.6,976,0.9,243,0.2,57,0.1,477,0.4,110496,98.4,112249,100.0,111168,99.0,1634,1.5,109534,97.6,1081,1.0,119,0.1,962,0.9
0500000US01017,01017,"Chambers County, Alabama",36583,100.0,36374,99.4,22271,60.9,13943,38.1,49,0.1,34,0.1,0,0.0,0,0.0,15,0.0,68,0.2,21,0.1,10,0.0,12,0.0,4,0.0,7,0.0,4,0.0,10,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,43,0.1,209,0.6,29,0.1,180,0.5,167,0.5,13,0.0,36583,100.0,280,0.8,103,0.3,18,0.0,11,0.0,148,0.4,36303,99.2,36583,100.0,36374,99.4,261,0.7,36113,98.7,209,0.6,19,0.1,190,0.5
