GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0500000US01001,01001,"Autauga County, Alabama",54907,*****,42997,283,10076,187,138,66,525,102,15,25,401,304,755,224,55,67,700,217
0500000US01003,01003,"Baldwin County, Alabama",187114,*****,161737,624,17733,461,1157,274,1331,225,5,9,2454,610,2697,615,273,224,2424,517
0500000US01005,01005,"Barbour County, Alabama",27321,*****,12960,210,12675,147,55,45,152,132,0,21,990,259,489,126,31,53,458,118
0500000US01007,01007,"Bibb County, Alabama",22754,*****,17461,15,4937,210,105,33,25,34,0,21,8,15,218,209,0,21,218,209
0500000US01009,01009,"Blount County, Alabama",57623,*****,54890,349,818,160,197,177,58,36,0,27,681,290,979,229,27,31,952,214
0500000US01011,01011,"Bullock County, Alabama",10746,*****,3001,497,7614,513,4,10,6,11,32,64,0,18,89,76,0,18,89,76
0500000US01013,01013,"Butler County, Alabama",20624,*****,11300,56,9024,118,24,20,106,87,0,21,42,56,128,79,34,52,94,48
0500000US01015,01015,"Calhoun County, Alabama",117714,*****,88358,456,24385,314,314,125,854,156,24,34,1694,447,2085,435,158,165,1927,404
0500000US01017,01017,"Chambers County, Alabama",34145,*****,19881,82,13737,144,30,34,186,33,13,20,25,34,273,125,18,26,255,125
0500000US01019,01019,"Cherokee County, Alabama",26034,*****,24216,87,1257,106,126,62,73,11,4,9,38,56,320,97,12,20,308,93
0500000US01021,01021,"Chilton County, Alabama",43744,*****,37447,500,4358,145,152,45,108,48,0,24,1249,478,430,156,47,59,383,125
0500000US01023,01023,"Choctaw County, Alabama",13687,*****,7621,11,5888,118,0,18,8,13,0,18,0,18,170,118,17,22,153,115
0500000US01025,01025,"Clarke County, Alabama",25573,*****,13798,69,11336,197,137,24,26,54,68,112,43,48,165,138,0,21,165,138
0500000US01027,01027,"Clay County, Alabama",13703,*****,11240,135,2090,139,12,19,0,18,0,18,140,134,221,138,13,17,208,139
0500000US01029,01029,"Cleburne County, Alabama",14945,*****,14143,78,530,81,34,37,47,62,0,18,25,46,166,77,15,21,151,71
0500000US01031,01031,"Coffee County, Alabama",50468,*****,38896,229,8563,232,419,126,732,110,0,27,320,151,1538,269,30,40,1508,261
0500000US01033,01033,"Colbert County, Alabama",54456,*****,43672,374,8853,217,323,137,222,65,7,10,512,452,867,334,192,207,675,256
0500000US01035,01035,"Conecuh County, Alabama",13104,*****,6836,76,5856,169,68,98,8,15,0,18,0,18,336,194,0,18,336,194
0500000US01037,01037,"Coosa County, Alabama",11198,*****,7587,20,3424,134,8,14,0,18,0,18,10,20,169,133,0,18,169,133
0500000US01039,01039,"Covington County, Alabama",37847,*****,31992,117,4799,119,201,79,128,86,26,40,213,139,488,185,91,91,397,161
0500000US01041,01041,"Crenshaw County, Alabama",13955,*****,10131,22,3172,184,62,41,203,24,0,18,64,72,323,155,0,18,323,155
