GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
0500000US01001,1001,"Autauga County, Alabama",49584,*****,39215,126,8854,86,193,92,309,94,0,119,336,116,677,190,56,58,621,172
0500000US01003,1003,"Baldwin County, Alabama",171997,*****,148799,569,17028,390,981,197,980,192,3,11,2366,537,1840,525,191,123,1649,517
0500000US01005,1005,"Barbour County, Alabama",29663,*****,15244,133,13742,129,135,87,27,31,5,8,270,137,240,101,25,29,215,95
0500000US01007,1007,"Bibb County, Alabama",21464,*****,16372,212,4953,227,21,26,51,64,0,119,0,119,67,55,0,119,67,55
0500000US01009,1009,"Blount County, Alabama",56804,*****,53846,433,547,227,438,327,247,234,19,32,975,430,732,299,0,119,732,299
0500000US01011,1011,"Bullock County, Alabama",10917,*****,2668,243,8193,255,13,21,29,59,0,119,0,119,14,22,0,119,14,22
0500000US01013,1013,"Butler County, Alabama",20189,*****,11525,109,8328,193,31,34,118,141,0,119,0,119,187,126,0,119,187,126
0500000US01015,1015,"Calhoun County, Alabama",112969,*****,86819,352,22155,311,600,93,899,115,74,91,1101,365,1321,310,51,47,1270,302
0500000US01017,1017,"Chambers County, Alabama",34704,*****,20951,133,12947,161,57,52,84,18,0,119,38,52,627,240,54,64,573,255
0500000US01019,1019,"Cherokee County, Alabama",24427,*****,22520,60,1373,108,140,50,43,56,39,61,152,109,160,93,51,65,109,72
0500000US01021,1021,"Chilton County, Alabama",42272,*****,36641,267,4532,227,170,118,58,50,0,119,390,234,481,182,31,44,450,173
0500000US01023,1023,"Choctaw County, Alabama",14229,*****,7816,119,6195,184,0,119,17,27,0,119,37,65,164,157,59,69,105,146
0500000US01025,1025,"Clarke County, Alabama",26438,*****,14594,133,11038,475,358,381,266,224,0,119,30,49,152,82,0,119,152,82
0500000US01027,1027,"Clay County, Alabama",13769,*****,11280,81,2014,142,37,38,0,119,0,119,109,73,329,143,0,119,329,143
0500000US01029,1029,"Cleburne County, Alabama",14579,*****,13574,148,781,157,54,59,2,3,0,119,19,23,149,88,10,18,139,86
0500000US01031,1031,"Coffee County, Alabama",46802,*****,36411,123,8475,96,352,92,469,92,17,22,176,90,902,160,81,50,821,157
0500000US01033,1033,"Colbert County, Alabama",54546,*****,44462,143,8714,190,287,73,218,119,0,119,106,86,759,260,114,110,645,221
0500000US01035,1035,"Conecuh County, Alabama",13114,*****,7144,28,5808,151,85,87,0,119,0,119,0,119,77,117,0,119,77,117
0500000US01037,1037,"Coosa County, Alabama",10777,*****,7144,119,3505,22,0,119,0,119,0,119,15,22,113,119,0,119,113,119
0500000US01039,1039,"Covington County, Alabama",36688,*****,31116,145,4586,100,236,97,146,14,47,52,271,152,286,129,11,23,275,123
0500000US01041,1041,"Crenshaw County, Alabama",13687,*****,10052,10,2968,228,83,30,412,222,0,119,0,119,172,91,15,23,157,87
0500000US01043,1043,"Cullman County, Alabama",80630,*****,77384,346,977,102,342,115,265,47,57,47,385,231,1220,359,181,147,1039,373
0500000US01045,1045,"Dale County, Alabama",48233,*****,36127,196,9827,222,203,76,698,57,93,136,268,114,1017,176,43,30,974,175
0500000US01047,1047,"Dallas County, Alabama",42748,*****,13581,59,28591,119,74,57,165,20,0,119,247,104,90,69,0,119,90,69
0500000US01049,1049,"DeKalb County, Alabama",68183,*****,63861,601,1047,188,845,265,220,38,0,119,1343,568,867,214,152,195,715,148
0500000US01051,1051,"Elmore County, Alabama",76714,*****,57662,180,16469,223,285,89,370,69,0,119,1014,200,914,286,27,21,887,284
0500000US01053,1053,"Escambia County, Alabama",37561,*****,23763,153,11820,92,1365,70,167,18,19,29,111,141,316,116,11,18,305,116
0500000US01055,1055,"Etowah County, Alabama",103150,*****,85078,351,15094,379,361,230,563,58,34,38,625,296,1395,349,55,61,1340,345
0500000US01057,1057,"Fayette County, Alabama",17651,*****,15137,68,1999,120,36,36,26,47,0,119,8,12,445,142,113,77,332,130
0500000US01059,1059,"Franklin County, Alabama",30847,*****,26423,483,1205,129,259,189,74,64,126,201,2376,473,384,157,70,91,314,119
0500000US01061,1061,"Geneva County, Alabama",25800,*****,22467,104,2680,107,78,58,84,99,0,119,102,72,389,100,53,57,336,76
0500000US01063,1063,"Greene County, Alabama",9112,*****,1827,119,7167,124,12,19,11,18,0,119,72,116,23,29,0,119,23,29
0500000US01065,1065,"Hale County, Alabama",17994,*****,7315,69,10562,76,24,18,50,43,0,119,2,9,41,19,0,119,41,19
0500000US01067,1067,"Henry County, Alabama",16580,*****,11189,111,5073,199,0,119,189,183,0,119,98,93,31,31,0,119,31,31
0500000US01069,1069,"Houston County, Alabama",97091,*****,69257,174,24509,183,487,126,856,64,14,15,841,203,1127,216,100,48,1027,207
0500000US01071,1071,"Jackson County, Alabama",52898,*****,48551,111,1861,138,728,211,97,47,3,5,129,90,1529,249,13,16,1516,247
0500000US01073,1073,"Jefferson County, Alabama",662212,*****,368598,1243,269723,575,1123,265,8972,295,429,48,7811,1260,5556,722,483,189,5073,699
0500000US01075,1075,"Lamar County, Alabama",14438,*****,12623,26,1735,38,31,34,0,119,0,119,6,11,43,35,0,119,43,35
0500000US01077,1077,"Lauderdale County, Alabama",88550,*****,77659,278,8990,214,159,92,398,87,0,119,301,206,1043,224,74,61,969,201
